,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
452,Mankind's curse.,"I do, too.",...to bone and dust.,of some king we never knew.,"I thought I'd surprise you by hitting Casterly Rock,",- ( skin sizzling ) - ( Thoros groaning ),Who told you that?
453,"Archmaester, I was wondering...",( sniffles ),All the while contemplating the choices you've made.,She's the queen we chose.,but you were three steps ahead of me.,( Thoros panting ),The witch who murdered my husband.
454,What's the weight?,No.,Make sure the guards change the torches every few hours.,Will you forgive me if I switch sides?,"Abandoned the family home, completely unsentimental.",You all right?,Has it occurred to you she might not have been
455,"Um, 147.",I want to see you.,I don't want her to miss a thing.,( bell ringing ),Father would have been proud.,I just got bit by a dead bear.,a reliable source of information?
456,I was wondering if you had considered my proposition.,Please.,( both crying ),Jon: Is that a Greyjoy ship?,- Don't talk about Father. - Listen to me--,"Aye, you did.",You were right from the beginning.
457,I don't remember your proposition.,( panting ),No.,( men shouting ),I once told Bronn,Funny old life.,"If I had trusted you, everything would be different."
458,"I asked you if, in light of what I've seen in the North,",Might be useful.,( panting ),( man shouts ),"that if I ever saw you again, I'd cut you in half.","Right, then.","So, what now?"
459,if I could have access to the restricted area of the library.,"Ch'Vyalthan was a dreadful writer,",( birds chirping ),Man: Halt!,It'll take you a while with a sparring sword.,We're off.,I can't forget what I saw north of the Wall.
46,and the great game's terrifying. Are you afraid?,he'd have invaded King's Landing already.,I can't place the accent.,I'll save my confessions for the High Septon.,"If she decides to use them, to really use them...",There's not a living woman within a hundred miles of here.,"Yes, he's always been a champion of the downtrodden."
460,That area is reserved for maesters.,but an excellent researcher.,( knocking on door ),Jon.,He was going to execute me.,- Where did she get it? - I don't know.,And I can't pretend that Cersei
461,- Are you a maester? - No.,"- Archmaester, I wondered if I-- - And this one.",Don't.,I didn't know you were here.,He knew I was innocent.,She seems very resourceful.,won't take back half the country the moment I march north.
462,"Not a very strong proposition, is it?",Maester Faull was quite the opposite--,What are you doing? No one can see us like this.,S-Sansa...,"He didn't hate me because of anything I did,",You're worried.,It appears Tyrion's assessment was correct.
463,"Archmaester, with respect,",a brilliant stylist who invented half the stories he tells.,I am the Queen of the Seven Kingdoms. I'll do as I please.,is she all right?,he hated me because of what I am.,"We're asking 20,000 men",We're fucked.
464,I've seen them--,"Um, I wanted to ask you--","Forgive me, Your Grace.",What you did for her...,A little monster sent to punish him.,to fight with us in the worst winter any of them have ever seen.,( footsteps approaching )
465,the Army of the Dead.,"If you're going to write histories, Tarly,",The visitor from Braavos has arrived.,is the only reason I'm not killing you.,Did he-- did he think--,The weather will be the least of their problems.,( footsteps approaching )
466,The white walkers.,you have to do the research.,Good. And we'll need fresh sheets for the bed.,We heard your uncle attacked your fleet.,did he think I wanted to be born this way?,Many of them will be happy to find a good reason to go home.,My armies will not stand down.
467,"I was sent here to learn how to defeat them,","If you want people to read your histories,","At once, Your Grace.",We thought you were dead.,- Did he think I chose it-- - What do you want?!,- You question their loyalty? - Their loyalty is to Jon.,I will not pull them back to the capital.
468,"but everyone in the Citadel,",you need a bit of style.,( chuckles ),I should be.,Daenerys will win this war.,Jon is not here. I haven't heard from him in weeks.,I will march them north to fight alongside you in the Great War.
469,"those who will even talk to me,","I'm not writing ""A Chronicle of the Wars",( liquid pouring ),Davos: Your sister?,You're a military man.,You're the Lady of Winterfell.,The darkness is coming for us all.
47,My name is Arya Stark. I want you to know that.,Conquering Westeros would be easy for you.,I was born on the Island of Naath.,There is no more High Septon.,- You're fucked. - Don't you mean we're fucked?,We have to make do with what we've got.,( trumpet blares )
470,they all doubt the walkers ever existed in the first place.,"Following the Death of King Robert I""","No, thank you.",Euron has her.,You must know there's no way around that.,The king chose you to rule in his absence.,We'll face it together.
471,Everyone in the Citadel doubts everything.,so it can sit on a shelf unread.,"My condolences, Your Grace,",I came to ask the queen to help me get her back.,Daenerys is not her father.,And rule you have.,"And when the Great War is over,"
472,It's their job.,What? You don't like the title?,on the death of your son.,The queen is gone.,She's even willing to suspend the hostilities,"Wisely, ably.",perhaps you'll remember I chose to help
473,But the tales of the Long Night can't be pure fabrication.,"What would you call it, then?","From all reports, he was a fine young man.",Where did she go?,if Cersei agrees to certain terms.,They see that. They respect you.,with no promises or assurances from any of you.
474,Too many similarities from unconnected sources.,"Mm, possibly something a bit more poetic?",The Iron Bank didn't send you here to offer condolences.,- Man: Get the horses watered! - ( neighs ),"If you want Cersei to bend the knee,",Some may even prefer you.,I expect not.
475,Sources in the restricted area?,"We're not poets, Tarly.",Condolences and congratulations.,( chatter ),you can ask her yourself.,"Yes, they turned their backs on Jon",Call our banners.
476,The very same.,"Um, Archmaester, if I could just have a moment.","To become the first ruling Queen of the Seven Kingdoms,",All the gold's safely through the gates of King's Landing.,I-- I don't. And Daenerys doesn't.,"when it was time to retake Winterfell,",All of them.
477,And the simplest explanation,This is your moment.,that's quite an accomplishment.,Good.,"Not right now, anyway.","then they named him their king,",- ( wind howling ) - ( cawing )
478,for your grating obsession with the white walkers,Use it wisely.,"The Iron Bank appreciates how you cast off the yoke of superstition,",We need to get the last of these wagons,She has a more important request.,and now they're ready to turn their backs on him again.,Littlefinger: It's not easy for ravens to fly in these storms.
479,is that you're telling the truth,I may have found a way to treat Ser Jorah.,freeing the crown from elements,over the Blackwater Rush before nightfall.,( chatter ),How far would you trust men like that?,Perhaps Jon tried to send word earlier.
48,- (BLADE RINGS) - (GASPS),But you're not here to be queen of the ashes.,Ah. I hear it's beautiful down there.,"No, there isn't, is there?","No, I do not.",This one is maybe not so smart.,- ( distant men shrieking ) - ( hoofbeats thundering )
480,and that you saw what you say you saw.,There are two recorded cases,who sought to subvert the rule of law.,"The head of the line is ambushed,",I wasn't sure I'd find you.,They're all bloody wind vanes.,"No, this is the way he is,"
481,"So, you believe me.",of advanced greyscale being cured.,The destruction of the Sept of Baelor was a tragic accident.,the tail will never be able to reinforce in time.,Thought you might still be rowing.,"If they found out that I wrote that letter,",the way he's always been.
482,I do.,I found the procedure in the study of rare diseases,"Indeed, but sometimes tragedies are necessary","Well, we are stretched a bit thin.",( chuckles ),a woman who's already married,He never asked for my opinion. Why would he start now?
483,You'll finish weighing that heart?,by Archmaester Pylos.,to restore order and rational leadership.,"With your permission,","I looked in shops, taverns, brothels.","not one, but two enemies of her house...",I can't believe he'd surrender the Northern crown without consulting you.
484,That makes you the only person south of the Twins who does.,I'm familiar with Archmaester Pylos,The Iron Bank wants its gold back.,flogging stragglers has a marked effect on mobility.,Should have known to come straight to the Street of Steel.,"By the time Jon comes back, he'll have no army left.","This is his writing, his signature."
485,We're not like the people south of the Twins.,and his study of rare diseases.,Your father never minced words either.,Let's give them fair warning first.,Aren't you worried about the gold cloaks?,Arya's not like them.,He pledged to fight for Daenerys Targaryen.
486,And we're not like the people north of the Twins.,"- Oh, you are? - Yes.","But, yes, your debts are considerable.",These men fought well at Highgarden.,Haven't been here in years.,She's your sister.,He's bent the knee.
487,"In the Citadel, we lead different lives for different reasons.",And shall I tell you how he died?,And you're now engaged in a conflict on several fronts.,"- ( men grunting ) - Man: Now, get it on this thing.",Why should they recognize me?,"You may have disagreements,",I've heard gossip
488,"We are this world's memory, Samwell Tarly.",From greyscale.,We both know how expensive war can be.,- Man ♪2: Lift! - ( men laughing ),Sometimes I hardly do.,but she would never betray her family.,that the Dragon Queen is quite beautiful.
489,"Without us, men would be little better than dogs.","- Oh. - The procedure's far too dangerous,",And we both know gold wins wars.,- Ser Jaime. - Rickon.,Nothing fucks you harder than time.,She would if she thought I was going to betray Jon.,What does that have to do with anything?
49,- (GRUNTS) - (BLOOD SPILLING),No.,Palm trees and butterflies.,There is still the question of my prize.,Dragons are where our partnership ends.,Davos says he's a strong fighter.,( shrieking continues )
490,"Don't remember any meal but the last,",which is why it's now forbidden.,Your vaults are empty.,Dickon.,Anybody give you any trouble?,Is that what she thinks?,Jon is young and unmarried.
491,can't see forward to any but the next.,( cart wheels squeaking ),Your late husband's profligacy saw to that.,I hear you fought bravely at Highgarden.,"Here I am, arming Lannisters,",I don't know what she thinks.,Daenerys is young and unmarried.
492,"And every time you leave the house and shut the door,",( door opens ),"Your wealthiest allies, the Tyrells, are now your enemies.",Your first battle?,and I never get a second look.,I don't know her anymore.,You think he wants to marry her?
493,they howl like you're gone forever.,Hello.,You are surrounded on all sides by rivals for the throne.,And?,But you were right.,Perhaps Lady Brienne could help.,An alliance makes sense.
494,"When Robert's Rebellion was raging,",- What are you doing? - ( door closes ),And the Iron Bank wants to bet on a winner.,It was glorious.,Safest place for me was right under the queen's nose.,"She's sworn to protect both of Catelyn Stark's girls,","Together, they'd be difficult to defeat."
495,people thought the end was near.,"You're Jorah Mormont,",We don't make bets.,"Come on, your father's not here.",Don't be so sure.,is she not?,He was named King in the North.
496,"The end of the Targaryen dynasty. ""How will we survive?""",the only son of Jeor Mormont.,We invest in endeavors we deem likely to be successful.,"All my life, we've been pledged to House Tyrell.",Safety is never a permanent state of affairs.,She is.,He can be unnamed.
497,When Aegon Targaryen turned his eye westward,"My name is Samwell Tarly,","A fancy way of saying ""bet.""",I knew some of those men. I hunted with them.,Bad things are coming.,"And if one of you were planning to harm the other in any way,","Even if I wanted to, Arya would never go along."
498,and flew his dragons to Blackwater Rush--,"Sworn Brother of the Night's Watch,",The war's already begun. I've drawn first blood.,They didn't deserve to die.,You came to get me. You want me to come with you.,wouldn't she be honor bound to intercede?,"She always loved Jon far more than she ever loved me,"
499,"""The end is near! How will we survive?""",training to serve as maester at Castle Black.,I decapitated the Dornish snake.,But Lady Olenna chose to betray her queen,"- Well, the thing you need to understand is-- - I'm ready.",She would.,and she'd kill anyone who betrayed her family.
5,The war is over. Winter has come.,Fire and blood.,Kill us!,Take a step toward a more productive relationship,The only thing standing between us,"If you would help your father, urge your brother",You will represent my interests
50,♪ (PIANO NOTE PLAYING) ♪,We can take the Seven Kingdoms,"Haven't been, myself.",That's a lot of money I just gave you.,I'm not gonna be around when those things,Good. That's more important than being smart.,I think we're about to be the downtrodden.
500,"And thousands of years before that, during the Long Night,",I knew your father.,My armada owns the Narrow Sea.,and support the Targaryen girl.,- You-- - Let's go.,- Something I've always wanted to know. - All right.,"You are family, too."
501,we can forgive them for thinking it truly was the end.,I was with him when he died.,Euron Greyjoy's armada owns the Narrow Sea.,So here we are.,You should know what you're heading into.,How drunk were you when you charged through the breach on Pyke?,Would Arya really murder her own sister?
502,But it wasn't. None of it was.,"You are not dying today, Ser Jorah.",Euron Greyjoy is loyal to me.,I didn't expect it to smell like that.,What do you think I've been thinking about,"If I'm being honest, I don't remember charging through the breach.",Do you know what she is now?
503,The Wall has stood through it all.,Drink this.,For now.,Men shit themselves when they die.,with every swing of the hammer?,Some of the lads told me about it the next morning.,Do you know what the Faceless Men are?
504,And every winter that ever came has ended.,- What is it? - Rum.,Daenerys Targaryen has three full-grown dragons.,Didn't they teach you that at fancy lad school?,How happy I am making weapons,Sounded like a good scrap.,Only by reputation.
505,Be a good lad. Clean this up.,"Drink it all, please. I'm afraid this is going to hurt.",How well do wooden ships fare against fire-breathing dragons?,"Well, I learned it when I was five.",for the family that killed my father?,Aye.,"They worship the God of Death, I believe."
506,( men snoring ),( coughing ),Her dragons might not be as invulnerable as some think.,( distant horse neighs ),The family that tried to kill me?,It was a proper scrap.,I never trust godly men.
507,( both grunting ),( clears throat ),But let's talk about the Targaryen girl.,What?,( scoffs ),"The ironborn thought you were some kind of god,",They're killers.
508,- Nope. - ( grunts ),If you could take off your shirt.,You want to invest in her?,Listen.,I've been getting ready.,the way you were waving that flaming sword.,And Arya was one of them.
509,( grunting ),( grunts ),I'm guessing the Iron Bank invested considerable gold in the slave trade.,( distant hoofbeats approaching ),"I never knew what for,",I thought you were the bravest man I ever saw.,What do you think she's after?
51,"( laughter, chatter )",without turning it into a slaughterhouse.,This place has changed.,It's not a castle.,start spitting fire on King's Landing.,Smart people don't come up here looking for the dead.,"Man: Archers, stand tall!"
510,- Nope. - ( grunts ),"If you wouldn't mind, bite down hard.",How are your profits,( rumbling ),but I've always known I'd know it when it comes.,Just the drunkest.,She's your sister.
511,( groans ),"I'm sorry, but no one knows I'm here,",now that Daenerys has freed all the slaves?,Jaime: Spears and shields! Spears and shields!,You might want to bring one of those swords.,( metal clanking ),You know her far better than I ever could.
512,You're a lucky man.,"and if they hear you screaming, then we're both finished.","The slave trade has entered a downturn, it's true.",- What is it? - Bronn: Get in line!,I don't know much about swinging swords.,Where's the rest of them?,"Sometimes when I try to understand a person's motives,"
513,Littlefinger: I've heard she beat the Hound in single combat.,Jorah: Have you ever done this before?,"From what I gather, she considers herself",Spears and shields! Spears and shields!,But this...,"If we wait long enough, we'll find out.",I play a little game.
514,She's a very impressive woman.,No.,more of a revolutionary than a monarch.,Get in line now!,this I know.,( wind howling ),I assume the worst.
515,"What do you want, Lord Baelish?","But no one else will try it, so I'm the best you've got.","In your experience, how do bankers usually fare with revolutionaries?","Form up! Come on, lads!",Keep your father's name to yourself.,( men shouting ),What's the worst reason they could possibly have
516,I want you to be happy.,Have a seat.,"The Lannisters owe the Iron Bank quite a lot of money,",Guard those wagons!,Situation's complicated enough already.,( choking ),for saying what they say and doing what they do?
517,I want you to be safe.,"I'm going to have to remove the entire upper layer of infected tissue,",but Lannisters always pay their debts.,Form a line! Form a line!,"Well, who should I say I am?",( panting ),"Then I ask myself,"
518,I am safe.,then apply a medicinal ointment to the...,Do former slaves or Dothraki or dragons?,Man: Round those spears!,"I told you, Clovis, if we don't get out of here soon,",( wight snarling ),"""How well does that reason explain"
519,"I'm at home, surrounded by friends.","- ( groaning ) - Shh, shh!","Your father's daughter, indeed.",( men shrieking in distance ),- someone's going to-- - Gold cloak: You there!,( snarling continues ),"what they say and what they do?"""
52,( chatter stops ),"If the great houses support your claim against Cersei,",Tyrion: And Sansa? I hear she's alive and well.,How about that one? It's available.,I have to tell Cersei.,"Tormund: So, you met this Dragon Queen, huh?",- ( horses neighing ) - Man ♪2: Cover that wall!
520,I have Brienne to protect me from anyone who would harm me.,Shh.,Give me a fortnight.,Man: Shield wall!,"No weapons, friends. I promise.","( snarling, screeching )","So, tell me--"
521,What about happy?,"Again, I'm sorry,",Stay in King's Landing as my honored guest.,Fill the gaps!,What can I do for you?,( snarling ),what's the worst thing she could want?
522,Why aren't you happy?,but please try not to scream.,"And when you return to Braavos,","- Randyll: Archers, steady! - Man ♪2: Hold together!",- Is that your boat? - It is.,( screeching ),She could want me dead
523,What do you want that you do not have?,( grunting ),"I swear to you, my debt will be paid in full.",- Archers! - Look alive!,- Gold cloak: The docks are that way. - Davos: That they are.,( screeching stops ),because she thinks I wronged my family.
524,"At the moment, peace and quiet.",( shushing ),I came down here to brood over my failure to predict the Greyjoy attack.,Get tight!,I try to stay away from them,( distant rumbling ),Why did she come to Winterfell?
525,( footsteps approaching ),( whimpering ),You're making it difficult.,"Man: Get in line, boys!",to avoid good men such as yourselves.,( footfalls thundering ),To kill me
526,"No need to seize the last word, Lord Baelish.",( groans ),You look a lot better brooding than I do.,- Ready! - Here they come!,- Still five gold dragons? - ( laughs ) Are you joking?,( screeching ),for marrying our enemies and betraying my family.
527,I'll assume it was something clever.,( muffled shouting ),You make me feel like I'm failing at brooding over failing.,- ( distant men shrieking ) - ( hoofbeats approaching ),You must be even older than you look.,( growls ),Why did she unearth the letter Cersei made you write?
528,Littlefinger: My lady.,"( chatter, laughter )",I'm a prisoner on this island.,"- ( hoofbeats pounding ) - ( men shrieking, whooping )",- 15. - 15?!,Run back to Eastwatch.,To provide proof of my betrayals.
529,My lady.,They say her dragons are bigger than Aegon's.,I wouldn't say you're a prisoner on this island.,( all shrieking ),Apiece.,"Get a raven to Daenerys, tell her what's happened.",To provide justification after she murders me.
53,You're wondering why I brought you all here.,the game is won.,- Jon: She is. - Does she miss me terribly?,You don't want Highgarden.,May as well jump back in that river.,And?,( seagulls screeching )
530,Why is he still here?,Horseshit. Cersei's just trying to frighten us.,"You're free to walk the castle,","Man: Courage, lads! Courage!",- ( sighs ) - ( coins jingling ),"- I'm not leaving you. - You're the fastest. Go, now.","And after she murders you,"
531,( sighs ) We need his men.,I hope it's true.,"the beaches, to go wherever you want.",Man ♪2: Wait! Wait for it!,I can't say it was a pleasure doing business with you.,You're faster without the hammer. Give it.,what does she become?
532,"Without the Vale, Ramsay Bolton would still hold this castle.","If she lays siege to King's Landing, prices will triple.",Except to my ship.,Spears out!,Gold cloak ♪2: What's in the boat?,Give it!,Lady of Winterfell.
533,Littlefinger saved us.,As long as we get back there before they start.,You took my ship.,( men grunt ),Not more gold.,- Come on! - Run!,( waves crashing )
534,Brienne: He wants something.,One more round. It's a long ride.,I wouldn't say we took your ship.,- Jaime: Spears out! - Randyll: Steady! Hold the line!,- Wine? - Mm.,Tormund: Come on!,"If we have the Dothraki ride hard on the kingsroad,"
535,I know exactly what he wants.,Hot Pie: Arry!,I'm not playing word games with you.,- Get back to King's Landing. - I'm not abandoning my army.,- I like wine. - Or hams.,( cracking ),they'll arrive at Winterfell within the fortnight.
536,( bird screeching ),"Hello, Hot Pie.",The dead are coming for us all.,"Bronn: You're the commander, not a damn infantryman.",Come have a look.,Stop!,And the Unsullied?
537,Man: ♪ He rode through the streets of the city ♪,Sit down.,Why don't you figure out what to do,Those fuckers are about to swamp us.,- Fermented crab. - What?,( ice cracking ),"We can sail with them to White Harbor,"
538,♪ Down from his hill on high ♪,Who's that for?,"about my missing fleet and murdered allies,",We can hold them off.,Davos: Fermented crab.,( wights snarling ),"meet the Dothraki here on the kingsroad,"
539,♪ O'er the winds and the steps and the cobbles ♪,Mm. This is good.,and I'll figure out what to do about your walking dead men.,( dragon roaring ),One bucket of this triples a brothel's earnings for the week.,Go!,then ride together to Winterfell.
54,"After all, we just had a feast.","With the Tyrell army and the Dornish on our side,",A sham marriage. And unconsummated.,- I beg to differ. - We're at war.,( men shouting in distance ),She'll only fight beside us if I bend the knee.,"- How many people live here? - A million, give or take."
540,♪ He rode to a woman's sigh ♪,You think so?,It's hard for me to fathom. It really is.,( roaring ),A man thinks he's done.,( grunts ),"Perhaps you should fly to Winterfell, Your Grace."
541,♪ For she was his secret treasure ♪,The secret is browning the butter before making the dough.,If someone told me about the white walkers and the Night King...,Dracarys!,He's ready to go back to his loving family.,( panting ),You have many enemies in the North.
542,♪ She was his shame and his bliss ♪,Most people don't do that 'cause it takes up too much time.,You probably don't believe me.,( pants ),"But before he gets his breeches up,",( panting ),Thousands fell fighting your father.
543,♪ And a chain and a keep are nothing ♪,"Mm, I didn't do that.","I do, actually.",( men screaming ),his lady of the hour pops a tiny spoon of that into his mouth.,( panting ),All it takes is one angry man with a crossbow.
544,♪ Compared to a woman's kiss ♪,You've been making pies?,You didn't before.,( screaming continues ),"Five minutes later, he's back in the race.",( snarling ),He'll see your silver hair on the kingsroad
545,Men: ♪ For hands of gold are always cold ♪,One or two.,"""Grumkins and snarks,"" you called them.",( screams echoing ),"Here, have a taste.",( panting ),and know that one well-placed bolt will make him a hero.
546,♪ But a woman's hands are warm ♪,I can't believe you're here.,Do you remember?,( Dothraki shrieking ),"I'd hurry to your favorite establishment,",( grunts ),The man who killed the conqueror.
547,♪ For hands of gold are always cold ♪,Did you meet the big lady?,You said it was all nonsense.,Jaime: Hold the line!,or you'll put a hole in that chainmail.,( gate rumbling ),"Jon: It's your decision, Your Grace."
548,- ♪ But a woman's hands are-- ♪ - ( horse nickers ),- Big lady? - The lady knight?,It was nonsense. Everybody knew it.,Hold!,( laughing ),What happened?,"But if we're going to be allies in this war,"
549,That's a pretty song.,"You know, I figured she was a knight 'cause she had armor on.",But then Mormont saw them,"- Bronn: Hold it, lads! - Hold the line!",( chattering ),Where are the others?,it's important for the Northerners to see us as allies.
55,Since when does old Walder,we have powerful allies in the south.,"- I didn't ask. - Well, it was. Wasn't.",Daenerys Targaryen could come and take it back the day after you move in.,( shouting continues ),You spent too much time with the Free Folk.,That's more people than the entire North crammed into that.
550,I've never heard it before.,"She was looking for your sister, but I told her about you.",and you saw them.,"- Man: Throw it! - ( grunts, screams )","Oi, dwarf!","Raven, we need to send a raven.","If we sail to White Harbor together,"
551,It's a new one.,Did she ever find you?,And I trust the eyes of an honest man,- ( grunts ) - Man: Hold!,I really wouldn't try any more,"Get the maester, now!",I think it sends a better message.
552,Man ♪2: Are you hungry? We've got some rabbit.,She found me.,more than I trust what everybody knows.,( men grunting ),until you see how the first bite hits you.,( wight snarling ),I've not come to conquer the North.
553,I don't want to steal your food.,"What happened to you, Arry?",How do I convince people who don't know me,( men shouting ),That dwarf...,( snarling continues ),I'm coming to save the North.
554,"You're not stealing, we're offering.",You got any ale?,that an enemy they don't believe in is coming to kill them all?,Man: Draw!,Where'd you get that scar?,- ( screeching ) - ( wights snarling ),We sail together.
555,"Come on, it's gonna be a cold night.",( pouring ),- Good question. - I know it's a good question.,Loose!,Fish hook. Some men you just can't teach.,( snarling continues ),Jon.
556,You heading south?,- Where you heading? - King's Landing.,I'm looking for an answer.,( dragon roars ),We was looking for a dwarf with a scar like that a while back.,Thoros?,Can I speak with you?
557,King's Landing.,- Why? - Heard Cersei's queen now.,People's minds aren't made for problems that large.,( men screaming ),Davos: Perhaps there's some arrangement?,Thoros.,All right.
558,- Poor girl. - ( men chuckling ),Heard she blew up the Great Sept.,"White walkers, the Night King,",- Archers! - Man: Archers!,( coins jingle ),They say it's one of the better ways to go.,"What you did in King's Landing,"
559,"Not so bad, is it?",That must have been something to see.,Army of the Dead--,"Archers, with me!",Arrangement?,"Beric: Lord of Light, show us the way.",what you said...
56,give us two feasts in a single fortnight?,I never properly thanked you for that.,Anyway...,"Besides, think of the upkeep.",( Drogon screeches ),Now you don't like kneeling.,Why would anyone want to live that way?
560,"Depends on your taste, I guess.",- Boom. - Mm.,it's almost a relief to confront,"- Man: Archers, to the line! - Man ♪2: To the line!",You gonna arrange to pay us more than Queen Cersei--,Come to us in our darkness and lead Your servant into the light.,you could've lied to Cersei
561,"If you like your streets covered in shit and pig's blood, it's the town for you.",I can't believe someone would do that.,"a comfortable, familiar monster like my sister.",- Nock! - Man: Nock!,( grunting ),We have to burn his body.,about bending the knee to Daenerys.
562,"- ( men chuckle ) - Man ♪2: All my life, I wanted to see the Red Keep,",Cersei would do that.,I need to help prepare my people for what's coming.,- ( dragon roaring ) - Draw!,- ( sighs ) - This is Gendry.,We'll all be close behind him,You risked everything to tell an enemy the truth.
563,"the Sept of Baelor, the Dragonpit.",I thought you'd be heading for Winterfell.,I can't help them from here.,- Loose! - Man: Loose!,He'll do.,unless the Lord of Light is kind enough to send us a bit of fire.,We went down there to make peace.
564,"Then when I finally make it,",Why would I go there? The Boltons have it.,I'd like to leave.,Man: Run!,"Go, go, go.","Beric: Lord of Light,",And it seems to me we need to be honest with each other
565,"they wouldn't let me within a mile of the Red Keep,","No, the Boltons are dead.",It seems unlikely that you became King in the North,( men screaming ),Qyburn: I could give you something.,"come to us in our darkness,",if we're going to fight together.
566,"the Sept of Baelor's blown to hell,",What?,by giving up that easily.,Qyburn's scorpion is over there.,That won't be necessary.,for the night is dark and full of terrors.,You've always known what was right.
567,and the Dragonpit is a damn ruin.,Jon Snow came down from Castle Black with a wildling army,Everyone told me to learn from my father's mistakes.,"Go get it, then.",Ser Jaime.,( snarling ),"Even when we were all young and stupid,"
568,"- ( men laugh ) - The people who live there,",and won the Battle of the Bastards.,Don't go south.,I can't shoot with one hand.,- ( door closes ) - Why was Qyburn here?,We'll all freeze soon.,you always knew.
569,they'd skin you alive if they could make two coppers off your hide.,He's King of the North now.,"Don't answer a summons from the Mad King's daughter,",- ( horse neighs ) - Bronn: Come on!,He's the Hand of the Queen. Why are you here?,And so will the water.,Every step you take...
57,- ( men laugh ) - ( Walder chuckles ),"They joined our side, my queen,",she's much smarter than she lets on.,"The more you owe, the more it weighs you down.",( roaring ),Mance Rayder was a brave man.,There's more work in the city.
570,Worst place in the world.,You're lying.,a foreign invader.,( shouts ),I met with Tyrion.,"When you killed the white walker,",it's always the right step.
571,What are you doing in the Riverlands?,Why would I lie about that?,"And here I am,",( grunting ),What did our brother have to say?,almost all the dead that followed it fell.,It's not.
572,"There's been some trouble with the Freys up at the Twins,","He's your brother, right?",a Northern fool.,( shouts ),Daenerys wants to meet.,Why?,"It may seem that way from the outside,"
573,so we're part of the army that's been sent to keep the peace.,- Thanks for the pie. - ( coins jingling ),"Children are not their fathers,",( horse screaming ),To discuss her surrender?,Maybe he was the one who turned them.,"but I promise you, it's not true."
574,Here you go. Guests first.,Friends don't pay.,luckily for all of us.,( shouts ),To discuss an armistice.,We can go for the walkers.,I've done plenty of things that I regret.
575,"Oh, no, I couldn't. You don't have enough.",Can't believe I thought you were a boy.,And sometimes there's more to foreign invaders,( man screaming ),She's just won a great victory. Why would she want a truce now?,- Maybe we'll stand a chance. - Jon: No.,"Not compared to me, you haven't."
576,My mother always told me to be kind to strangers.,You're pretty.,and Northern fools than meets the eye.,( horse bellowing ),Because an army of dead men,We need to take that thing back with us.,No.
577,Strangers will be kind to you.,Thanks.,"Daenerys could have sailed for Westeros long ago, but she didn't.",- ( men screaming ) - Man: Need help!,is marching on the Seven Kingdoms.,Jon: There's a raven flying for Dragonstone now.,Not compared to you.
578,You're a long way from home.,"Take care of yourself, Hot Pie.","Instead, she stayed where she was",( screaming ),Tyrion claims he'll have proof.,Daenerys is our only chance.,I always wanted to do the right thing.
579,"I'm sure you've had some adventures, though.",Try not to get killed.,"and saved many people from horrible fates,",( men screaming ),( chuckles ),No. There's another.,Be the right kind of person.
58,"Well, it's no good being Lord of the Riverlands",because they believe in you.,She's starting to let on.,"Oh, is that why you're so fucking glum, eh?",I know what Cersei has told you.,A proud man.,And the brothels are far superior.
580,"Yeah, endless adventures.","Ah, I won't.",some of whom are on this island with us right now.,( dragon roaring ),- Are you going to punish him? - Tyrion?,Kill him.,But I never knew what that meant.
581,- They'll be singing about us for a thousand years. - ( men laugh ),"I'm like you, Arry.","While you're our guest here,",( Dothraki shrieking ),Bronn.,Beric: He turned them all.,It always seemed like there's...
582,"The truth is when we left home, we couldn't wait to get away.",( sniffs ) I'm a survivor.,you might consider asking them,( grunts ),He betrayed you.,You don't understand.,like there was an impossible choice I had to make.
583,"But now we've been gone a while, we can't wait to get home.",200 miles to King's Landing.,what they think of the Mad King's daughter.,Where are you?,He set up a meeting without your knowledge or consent.,Beric: The Lord brought you back.,Stark or Greyjoy.
584,I just think about my dad out there on his boat all alone.,One bottle of rum. You think we'll make it?,"She protects people from monsters,",( roaring ),Do you think anything of importance,He brought me back.,Our father was more of a father to you than yours ever was.
585,I ought to be out there with him.,( grunts ),just as you do.,( men screaming ),happens in this city without me knowing?,No one else. Just us.,- He was. - And you betrayed him.
586,My wife just had our first baby.,( knocking on door ),It's why she came here.,( Dothraki shrieking in distance ),You let it happen. Why?,Did He do it to watch us freeze to death?,Betrayed his memory.
587,"- Boy or girl? - Oh, who knows?",Come in.,And she's not about to head north,( screams echoing ),I've come to believe that,"Careful, Beric. You lost your priest.",I did.
588,You think soldiers get ravens with news from home?,"A raven, my king, from the Citadel.",to fight an enemy she's never seen,( speaking Dothraki ),an accommodation with the Dragon Queen,This is your last life.,( sighs )
589,( men laugh ),Jon: This message was sent to me by Samwell Tarly.,on the word of a man she doesn't know.,( horse screaming ),could be in our immediate interest.,I've been waiting for the end for a long time.,But you never lost him.
59,if you can't celebrate with your family.,"You served my father, didn't you, Lord Varys?",Good.,All your new riches weighing you down?,"That I've come to destroy your cities,",The King-beyond-the-Wall never bent the knee.,( wight screeching )
