,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
269,"Our little brother,",The Dothraki in Westeros for the first time in history.,"If it doesn't matter, then you might as well kneel.",Littlefinger? He's here?,We will write to Maester Wolkan,You don't look much like him.,He will not choose sides.
27,I'm to be the new maester.,( thunder crashing ),The bastard of Winterfell.,TYCHO NESTORIS: We both know how expensive war can be.,( insects chirping ),"What if we prove her wrong, bring one of these things",( chatter continues )
270,"the one you love so much,","I know you don't like my sister,","Swear your allegiance to Queen Daenerys,",He has declared for House Stark.,at Winterfell for clarification.,Who's that?,Daenerys: Just the King in the North?
271,"the one you set free,",but you have to make a choice.,"help her to defeat my sister,",Why would he give you a dagger?,I promise you we will get to the truth of it one way or another.,Your father.,- Not me? - ( Cersei chuckles )
272,"the one who murdered our father and our first-born son,",Do you fight with us,"and together, our armies will protect the North.",- He thought I'd want it. - Sansa: Why?,"- Archmaester, please-- - That will be all, Tarly.",I suppose you favor your mother.,I would never ask it of you.
273,now he stands beside our enemies and gives them counsel.,or with foreign savages and eunuchs?,There's no time for that.,Because it was meant to kill me.,"Maester: It brings to mind the work of Jenny of Oldstones,",You knew him?,You would never agree to it.
274,He's out there somewhere at the head of an armada.,"When the war is won,",There's no time for any of this!,The cutthroat... after your fall?,the charlatan who claimed descent from the children of the forest.,'Course I did.,"And if you did, I would trust you even less than I do now."
275,Where will they land?,the queen will need a new Warden of the South.,"While we stand here, debating--",Why would a cutthroat have a Valyrian steel dagger?,"- ( all chuckling ) - Sandhu: Don't forget the prophet Lodos,","When he was Hand,",I ask it only of Ned Stark's son.
276,Dragonstone.,I can think of no better man,It takes no time to bend the knee.,Someone very wealthy wanted me dead.,who promised that the Drowned God would rise up and destroy Aegon the Conqueror.,he sent me off hunting for the Mountain.,I know Ned Stark's son will be true to his word.
277,They have deep-water ports for the ships.,than Randyll Tarly.,Pledge your sword to her cause.,He's not a generous man.,"- ( all laugh ) - Ah, Lodos.",Your wildling friend told me,I am true to my word.
278,"Stannis left the castle unoccupied,",Ebrose: The infection has spread too far.,And why would I do that?,He wouldn't give you anything,Is he the one whose father and brother were just burnt alive?,the red woman brought you back.,Or I try to be.
279,and that's where she was born.,You should have cut off your arm the moment you were touched.,"I mean no offense, Your Grace,",unless he thought he was getting something back.,I'm afraid so.,Thoros has brought me back six times.,That is why I cannot give you what you ask.
28,The Citadel has the world's greatest library.,"Tyrion: On a night like this, you came into the world.",The dwarf of Casterly Rock.,Your vaults are empty.,"( gasps, grunts )",down to King's Landing and show her the truth?,"- Bronn: Oil? - Pitch, my lord."
280,Enemies to the east.,How long?,but I don't know you.,- It doesn't matter. - What do you mean it doesn't matter?,Horrible business.,We both serve the same lord.,I cannot serve two queens.
281,Enemies to the south--,It'll be years before it kills you.,"As far as I can tell,",I don't want it.,I haven't had the heart to tell him yet.,I serve the North.,And I have already pledged myself
282,Ellaria Sand and her brood of bitches.,Could be 10.,"your claim to the throne rests entirely on your father's name,",Are you sure?,He's a good lad.,The North didn't raise you from the dead.,to Queen Daenerys of House Targaryen.
283,Enemies to the west--,Could be 20.,and my own father fought to overthrow the Mad King.,Arya: It's Valyrian steel.,Right.,The Lord of Light never spoke to me.,Then there is nothing left to discuss.
284,"Olenna, the old cunt.",But how long until...?,The lords of the North,It's wasted on a cripple.,The ravenry was falling apart the last time I checked.,I don't know anything about him.,The dead will come north first. Enjoy dealing with them.
285,Another traitor.,Your mind?,"placed their trust in me to lead them,",( people chattering ),( slurping ),I don't know what he wants from me.,We will deal with whatever is left of you.
286,Enemies to the north.,"Six months, maybe fewer.",and I will continue to do so as well as I can.,( bleating ),All rulers demand that people bend the knee.,- He wants you alive. - Why?,Brienne: Ser Jaime.
287,Ned Stark's bastard has been named King in the North,( grunts ),That's fair.,Catelyn Stark would be proud.,That's why they're rulers.,I don't know.,It's been good to see you.
288,and that murdering whore Sansa stands beside him.,Um...,It's also fair to point out,You kept your vow.,"She gave Tarly a choice,","That's all anyone can tell me-- ""I don't know.""",I imagine the next time will be across a battlefield.
289,Enemies everywhere. We're surrounded by traitors.,"Pardon, Archmaester.",that I'm the rightful Queen of the Seven Kingdoms.,I did next to nothing.,a man who had taken up arms against her.,"So, what's the point in serving a god",We both saw what just happened.
29,I'll learn about things that all help when...,Varys: I remember that storm.,I believe we last saw each other atop the Wall.,My debt will be paid in full.,( gasping ),JON SNOW: We're all on the same side.,"- How many barrels? - 500, my lord."
290,You're in command of the Lannister army now.,I met Stannis Baratheon's daughter at Castle Black.,"By declaring yourself king of the northernmost kingdom,","You're too hard on yourself, my lady.",What else could she do?,if none of us knows what he wants?,We both saw that... thing.
291,- How do we proceed? - Winter is here.,She had the greyscale as a baby and was cured.,you are in open rebellion.,I'm not a...,Not burn him alive alongside his son?,I think about that all the time.,"Yes, and I'm not looking forward to seeing more of them."
292,We can't win a war if we can't feed our men and our horses.,- Ebrose: No. - Isn't there some way--,( footsteps approaching ),"Thank you, Podrick.","I am her Hand, not her head.",I don't think it's our purpose to understand.,"But I'm loyal to the queen,"
293,"The Tyrells have the grain, the Tyrells have the livestock.",Ebrose: Does this look like a baby to you?,"( whispering ) Your Grace, please dismiss your guests.",( raven cawing ),I can't make her decisions for her.,Except one thing-- we're soldiers.,and you're loyal to Sansa and her dolt brother.
294,Will the Tyrell bannermen stand alongside,- No. - Have you studied,I have grave news.,( waves crashing ),That's what I used to tell myself about her father.,We have to know what we're fighting for.,"Oh, fuck loyalty!"
